student_id,first_name,last_name,dob,district_id,grade,is_injected_duplicate,duplicate_of
977265616,James,Williams,2013-03-09,D100036,8,False,
921922851,Alexander,Taylor,2010-04-16,D100011,10,False,
985655366,Matthew,Johnson,2013-06-09,D100004,8,False,
997721216,David,Ramirez,2018-01-22,D100039,2,False,
983124935,Evelyn,Jones,2017-11-20,D100007,3,False,
963671384,Lucas,Jackson,2014-05-13,D100060,7,False,
991969450,Emily,Williams,2010-12-05,D100027,11,False,
941096587,Matthew,Williams,2009-09-06,D100059,12,False,
961224753,David,Ramirez,2010-10-24,D100059,10,False,
934728507,Carter,Lopez,2012-05-21,D100028,8,False,
910826034,Henry,Taylor,2016-06-17,D100015,4,False,
908712683,Harper,Wilson,2016-03-10,D100032,5,False,
981401171,Benjamin,Moore,2015-03-27,D100045,5,False,
975494090,Mason,Clark,2016-11-24,D100026,4,False,
940432637,David,Thomas,2019-11-08,D100039,2,False,
782842458,Harpre,Johnson,2013-10-26,D100018,8,True,993324032
948133414,Sophia,Hernandez,2019-06-17,D100030,2,False,
716816737,Isabella,Gonzalze,2015-07-06,D100045,6,True,949901646
900257387,Jackson,Thompson,2019-09-09,D100060,1,False,
974770649,Emily,Anderson,2012-06-01,D100012,8,False,
980807792,Mia,Johnson,2012-01-02,D100015,9,False,
985734746,Layla,Wilson,2019-04-12,D100024,2,False,
987432531,Ella,Brown,2017-03-22,D100036,3,False,
934905365,Carter,Jackson,2011-06-15,D100011,10,False,
924331149,Jackson,Perez,2010-01-07,D100048,11,False,
946003124,Abigail,Taylor,2010-08-16,D100011,10,False,
932141897,Evelyn,Gonzalez,2018-02-25,D100027,3,False,
912133594,Layla,Harris,2018-08-08,D100011,2,False,
919090476,James,Lewis,2016-09-27,D100039,5,False,
948320821,Daniel,Wilson,2014-01-25,D100030,6,False,
939794648,Grace,Jackson,2014-02-27,D100024,7,False,
919328696,Sophia,Williams,2008-06-13,D100055,12,False,
986612478,Mason,Lee,2016-08-05,D100007,5,False,
907007863,Michael,Lee,2011-03-19,D100026,10,False,
939353131,Mason,Davis,2016-06-23,D100056,5,False,
950253961,David,Thomas,2012-05-23,D100041,9,False,
969126722,Sebastian,Martin,2019-06-10,D100059,1,False,
957993511,Abigail,White,2008-08-07,D100045,12,False,
952230313,Liam,Anderson,2013-01-08,D100015,8,False,
984292865,James,Jackson,2017-07-25,D100030,3,False,
912286448,Daniel,Davis,2008-01-09,D100056,12,False,
992829377,Ella,Brown,2021-07-11,D100030,0,False,
905783722,Benjamin,Robinson,2012-08-12,D100024,8,False,
926605027,Abigail,Lopez,2011-11-18,D100038,10,False,
949767175,Mason,Lopez,2019-12-11,D100041,1,False,
706407844,Grace,Sanchez,2014-10-25,D100004,7,True,980550924
947122098,Logan,Brown,2017-01-03,D100005,4,False,
967562683,Ethan,Anderson,2019-02-02,D100039,2,False,
960468394,Chloe,Ramirez,2019-12-02,D100027,1,False,
908695207,Benjamin,Anderson,2020-06-20,D100023,1,False,
957408349,Layla,Brown,2010-04-07,D100015,11,False,
955627906,Isabella,Anderson,2020-01-27,D100015,1,False,
942128890,Amelia,Sanchez,2015-06-07,D100030,6,False,
910253422,Amelia,Lopez,2021-09-25,D100022,0,False,
